"id","orderId","menuItemId","quantity","price","remark","selectedOptions","status"
"000dce77-f5db-43ea-99e9-b5c9fba55452","5e67a450-279d-461f-b354-389cbeaebe17","591f5a9e-5ae2-4612-a2fb-f42a2701ee97","1","0.000000000000000000000000000000",,"[{""type"":""single"",""title"":""Sugar"",""choices"":[{""id"":""f37891d4-906e-41fd-b016-39fca6854ee6"",""label"":""Sugar"",""priceDelta"":0}],""groupId"":""06a1f88e-2888-479f-8946-109b928ad90b"",""required"":true},{""type"":""single"",""title"":""Choice"",""choices"":[{""id"":""74279e17-917e-4369-9d70-b782add81b27"",""label"":""Hot"",""priceDelta"":0}],""groupId"":""34bfbb80-a978-4fb3-b5b9-ef83fdd3b936"",""required"":true}]","READY"
"001a226d-6df5-456a-bc88-86216204e6d9","b97fc2fc-4226-42a4-a9be-95323c774976","ee41b154-17a0-4f25-897c-0e34d0e9ca3b","1","0.000000000000000000000000000000",,"[{""type"":""single"",""title"":""Option"",""choices"":[{""id"":""a9c0ba9a-f944-4f5f-9c23-759a4d8930f5"",""label"":""No Sugar"",""priceDelta"":0}],""groupId"":""12b13edf-d25a-4abf-92d2-5d5b45515fb6"",""required"":true},{""type"":""single"",""title"":""Option"",""choices"":[{""id"":""7ea696b5-36dc-460e-905f-0dc05debdeb3"",""label"":""Cold"",""priceDelta"":0}],""groupId"":""f49b7c85-fcf0-43de-9f46-fdc52f0bd11a"",""required"":true}]","READY"
"0137d3d2-7c8e-4cc1-9f4a-f44b09444fdb","90361b5c-6735-4a12-aaf5-7592b28ef40d","ee41b154-17a0-4f25-897c-0e34d0e9ca3b","1","0.000000000000000000000000000000",,"[{""type"":""single"",""title"":""Option"",""choices"":[{""id"":""a8530576-5d1c-4996-911a-b62cd0a6daf2"",""label"":""Sugar"",""priceDelta"":0}],""groupId"":""12b13edf-d25a-4abf-92d2-5d5b45515fb6"",""required"":true},{""type"":""single"",""title"":""Option"",""choices"":[{""id"":""7ea696b5-36dc-460e-905f-0dc05debdeb3"",""label"":""Cold"",""priceDelta"":0}],""groupId"":""f49b7c85-fcf0-43de-9f46-fdc52f0bd11a"",""required"":true}]","READY"
"015d98d6-7f0b-4b71-861d-beb17f73fed5","a791608b-6254-4832-aedd-997635a544be","bfafbe37-d3a8-4f50-9186-f70a99acb47e","1","0.000000000000000000000000000000",,"[]","READY"
"01a342c1-7f20-4529-a2e1-38ca871fb41c","e8882719-5c24-4435-9881-c0bdfa6f025d","ee41b154-17a0-4f25-897c-0e34d0e9ca3b","1","0.000000000000000000000000000000",,"[{""type"":""single"",""title"":""Option"",""choices"":[{""id"":""a8530576-5d1c-4996-911a-b62cd0a6daf2"",""label"":""Sugar"",""priceDelta"":0}],""groupId"":""12b13edf-d25a-4abf-92d2-5d5b45515fb6"",""required"":true},{""type"":""single"",""title"":""Option"",""choices"":[{""id"":""0ec24708-bfd6-4c1f-8d5e-a86d9cef2e64"",""label"":""Hot"",""priceDelta"":0}],""groupId"":""f49b7c85-fcf0-43de-9f46-fdc52f0bd11a"",""required"":true}]","READY"
"01d006ec-61bf-4e23-9f11-c86315d07668","38a78c90-46ef-4b53-8b3f-1a29bf82d07c","bfafbe37-d3a8-4f50-9186-f70a99acb47e","1","0.000000000000000000000000000000",,"[]","READY"
"01e26cd3-df32-4471-a898-8f1d1999af99","9de2513f-04e2-4171-bf7a-cbb4a65d12d2","ee41b154-17a0-4f25-897c-0e34d0e9ca3b","1","0.000000000000000000000000000000",,"[{""type"":""single"",""title"":""Option"",""choices"":[{""id"":""a8530576-5d1c-4996-911a-b62cd0a6daf2"",""label"":""Sugar"",""priceDelta"":0}],""groupId"":""12b13edf-d25a-4abf-92d2-5d5b45515fb6"",""required"":true},{""type"":""single"",""title"":""Option"",""choices"":[{""id"":""7ea696b5-36dc-460e-905f-0dc05debdeb3"",""label"":""Cold"",""priceDelta"":0}],""groupId"":""f49b7c85-fcf0-43de-9f46-fdc52f0bd11a"",""required"":true}]","READY"
"01eb12bd-7add-46ec-ac6a-9096665763e5","6ef66d36-0c72-4a40-8d9f-88f3eeea3072","fb8fe2c6-9c32-4bef-8fa1-43835afcc6c6","1","0.000000000000000000000000000000",,"[{""type"":""single"",""title"":""Sugar"",""choices"":[{""id"":""4fa5be53-3fb1-4f3d-a093-cf72abcb644d"",""label"":""Sugar"",""priceDelta"":0}],""groupId"":""f3365b84-e196-42f0-9fd6-3d8a1d8dde4c"",""required"":true},{""type"":""single"",""title"":""Choice"",""choices"":[{""id"":""c71b228e-1db4-4cbe-add8-682c2f2ff432"",""label"":""Cold"",""priceDelta"":0}],""groupId"":""8090364a-6a50-4ff0-bcd6-d4f2ebb7dab3"",""required"":true}]","READY"
"01f11029-ee43-426b-b2bf-a83938bd9a77","ea0e2875-826e-49c0-a2dd-0cd760f738d9","bfafbe37-d3a8-4f50-9186-f70a99acb47e","1","0.000000000000000000000000000000",,"[]","READY"
"0263311f-3f61-4cec-b303-479d6fd0567e","d3d712bd-ccd7-4083-918c-0f4d205f203b","ee41b154-17a0-4f25-897c-0e34d0e9ca3b","1","0.000000000000000000000000000000",,"[{""type"":""single"",""title"":""Option"",""choices"":[{""id"":""a8530576-5d1c-4996-911a-b62cd0a6daf2"",""label"":""Sugar"",""priceDelta"":0}],""groupId"":""12b13edf-d25a-4abf-92d2-5d5b45515fb6"",""required"":true},{""type"":""single"",""title"":""Option"",""choices"":[{""id"":""7ea696b5-36dc-460e-905f-0dc05debdeb3"",""label"":""Cold"",""priceDelta"":0}],""groupId"":""f49b7c85-fcf0-43de-9f46-fdc52f0bd11a"",""required"":true}]","READY"
